"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H1",22/06/18,1,"NOR",06:24.58,"BRUN, Kristoffer; STRANDLI, Are"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H1",22/06/18,2,"ITA2",06:29.45,"SCALZONE, Alfonso; SOARES, Gabriel"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H1",22/06/18,3,"UKR",06:31.94,"KHMARA, Igor; KOVALOV, Stanislav"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H1",22/06/18,4,"GRE",06:39.05,"PAPAKONSTANTINOU, Antonios; NTINENIS, Charalampos"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H1",22/06/18,5,"GBR1",06:56.11,"MOTTRAM, Samuel; LEE-GREEN, Zak"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H1",22/06/18,6,"AUT2",06:58.99,"HAFERGUT, Johannes; MADERNER, Alexander"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H2",22/06/18,1,"POL",06:22.23,"KOWALSKI, Jerzy; JANKOWSKI, Milosz"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H2",22/06/18,2,"GER",06:31.19,"WICHERT, Lars; STEINHUEBEL, Konstantin"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H2",22/06/18,3,"ARG",06:37.39,"COLOMINO, Alejandro; LAURO, Carlo"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H2",22/06/18,4,"NZL",06:41.61,"VAN DALEN, Benjamin; DUNHAM, Matthew"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H2",22/06/18,5,"CHN",07:12.85,"CHEN, Sensen; FAN, Junjie"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H3",22/06/18,1,"FRA1",06:21.96,"HOUIN, Pierre; BAROUKH, Thomas"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H3",22/06/18,2,"DEN",06:25.76,"MODEST, Alexander; ESPENSEN, Emil"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H3",22/06/18,3,"AUT1",06:25.98,"SCHOEBERL, Julian; SIEBER, Bernhard"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H3",22/06/18,4,"SWE",06:27.21,"NILSSON, Filip; JOHANSSON, Mattias"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H3",22/06/18,5,"FIN",06:36.46,"PETAEJAENIEMI, Juho-Pekka; HIRVILAMPI, Kasper"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H4",22/06/18,1,"ITA1",06:17.63,"OPPO, Stefano; RUTA, Pietro"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H4",22/06/18,2,"BEL",06:20.10,"BRYS, Tim; VAN ZANDWEGHE, Niels"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H4",22/06/18,3,"SUI",06:23.61,"STRUZINA, Andri; MUELLER, Julian"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H4",22/06/18,4,"FRA2",06:26.56,"BEUREY, Hugo; BOVE, Ivan"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Heat","H4",22/06/18,5,"GBR2",06:59.18,"COPUS, Jamie; HORSBURGH, Gavin"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FA",24/06/18,1,"ITA1",06:22.71,"OPPO, Stefano; RUTA, Pietro"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FA",24/06/18,2,"NOR",06:24.45,"BRUN, Kristoffer; STRANDLI, Are"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FA",24/06/18,3,"BEL",06:25.84,"BRYS, Tim; VAN ZANDWEGHE, Niels"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FA",24/06/18,4,"FRA1",06:26.57,"HOUIN, Pierre; BAROUKH, Thomas"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FA",24/06/18,5,"POL",06:26.64,"KOWALSKI, Jerzy; JANKOWSKI, Milosz"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FA",24/06/18,6,"NZL",06:28.68,"VAN DALEN, Benjamin; DUNHAM, Matthew"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FB",24/06/18,1,"SUI",06:24.86,"STRUZINA, Andri; MUELLER, Julian"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FB",24/06/18,2,"DEN",06:25.02,"MODEST, Alexander; ESPENSEN, Emil"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FB",24/06/18,3,"ITA2",06:26.87,"SCALZONE, Alfonso; SOARES, Gabriel"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FB",24/06/18,4,"GBR2",06:26.92,"COPUS, Jamie; HORSBURGH, Gavin"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FB",24/06/18,5,"UKR",06:27.91,"KHMARA, Igor; KOVALOV, Stanislav"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FB",24/06/18,6,"GER",06:28.13,"WICHERT, Lars; STEINHUEBEL, Konstantin"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FC",23/06/18,1,"GBR1",06:21.68,"MOTTRAM, Samuel; LEE-GREEN, Zak"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FC",23/06/18,2,"SWE",06:24.52,"NILSSON, Filip; JOHANSSON, Mattias"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FC",23/06/18,3,"AUT1",06:25.28,"SCHOEBERL, Julian; SIEBER, Bernhard"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FC",23/06/18,4,"CHN",06:29.01,"CHEN, Sensen; FAN, Junjie"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FC",23/06/18,5,"FRA2",06:33.67,"BEUREY, Hugo; BOVE, Ivan"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FC",23/06/18,6,"ARG",06:43.82,"COLOMINO, Alejandro; LAURO, Carlo"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FD",23/06/18,1,"GRE",06:32.58,"PAPAKONSTANTINOU, Antonios; NTINENIS, Charalampos"
"2018 World Rowing Cup II","LM2x","Lightweight Men's Double Sculls - Final","FD",23/06/18,2,"FIN",06:33.15,"PETAEJAENIEMI, Juho-Pekka; HIRVILAMPI, Kasper"
