"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H1",1,"POL","06:34.280","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H1",2,"SUI","06:37.880","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H1",3,"ARG","06:40.160","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H1",4,"USA","06:42.080","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H1",5,"SWE","06:42.670","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H2",1,"AUS","06:33.480","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H2",2,"GER","06:40.530","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H2",3,"CUB","06:42.240","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H2",4,"RUS","06:46.340","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H2",5,"PAK","07:13.620","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H3",1,"FRA","06:32.730","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H3",2,"ESP","06:34.890","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H3",3,"NED","06:38.620","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H3",4,"GBR","06:41.740","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H3",5,"HKG","07:00.750","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H4",1,"ITA","06:24.730","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H4",2,"JPN","06:27.000","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H4",3,"GRE","06:29.680","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Heat","H4",4,"MEX","06:31.240","No Crew Recorded"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FA",1,"POL","06:21.750","KUCHARSKI, Tomasz; SYCZ, Robert"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FA",2,"ITA","06:23.470","LUINI, Elia; PETTINARI, Leonardo"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FA",3,"FRA","06:24.850","TOURON, Pascal; CHAPELLE, Thibaud"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FA",4,"GER","06:26.540","EULER, Ingo; RUEHLING, Bernhard"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FA",5,"SUI","06:28.520","GIER, Markus; GIER, Michael"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FA",6,"JPN","06:29.740","HASE, Hitoshi; TAKEDA, Daisaku"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FB",1,"AUS","06:26.210","KARRASCH, Hamish; HICK, Bruce"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FB",2,"GRE","06:27.790","POLYMEROS, Vasileios; MILIOTIS, Panagiotis"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FB",3,"ESP","06:31.490","ALVAREZ HOYOS, Ruben; ZUNZUNEGUI GUIMERANS, Juan"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FB",4,"MEX","06:31.700","BOUZAS RODRIGUEZ, Romulo; GOMEZ COUNAHAN, Miguel"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FB",5,"USA","06:32.410","TUCKER, Steve; GROOM, Conal"
"2000 Olympic Games","LM2x","Lightweight Men's Double Sculls - Final","FB",6,"NED","06:40.180","RUPS VAN DER LINDEN, Maarten; AARDEWIJN, Pepijn"
