"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H1",1,"GER","06:23.430","STEINHUEBEL, Konstantin; HARTIG, Lars"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H1",2,"ITA","06:25.220","MICHELETTI, Andrea; RUTA, Pietro"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H1",3,"HUN","06:38.870","GALAMBOS, Peter; CSEPREGI, Gabor"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H1",4,"CRO","06:43.550","RADONIC, Vedran; RUPCIC, Dino"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H1",5,"DEN","06:46.700","STEPHANSEN, Henrik; JENSEN, Steffen"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H2",1,"NOR","06:24.440","BRUN, Kristoffer; STRANDLI, Are"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H2",2,"POL","06:31.690","MIKOLAJCZEWSKI, Artur; JANKOWSKI, Milosz"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H2",3,"UKR","06:39.400","KOVALOV, Stanislav; KHMARA, Igor"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H2",4,"BUL","06:44.130","VITANOV, Vassil; KARAIVANOV, Zlatko"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H2",5,"SLO","06:46.300","MALESIC, Matevz; BOLHA, Marko"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H3",1,"FRA","06:15.240","DELAYRE, Stany; AZOU, Jeremie"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H3",2,"NED","06:21.860","MUDA, Tycho; MUDA, Vincent"
"2014 European Rowing Championships","LM2x","Lightweight Men's Double Sculls - Heat","H3",3,"GBR","06:25.310","FLETCHER, William; KIRKWOOD, Jamie"
