Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"McWilliams, Gavin",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,0,Coxswain,Finished,5:33.580
"Grimster, Edwin",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,1,Bow,Finished,5:33.580
"Reeves, Benjamin",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,2,2,Finished,5:33.580
"Newman, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,3,3,Finished,5:33.580
"Hillier, Luke",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,4,4,Finished,5:33.580
"Hogan, Harry",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,5,5,Finished,5:33.580
"O'Neill, Ben",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,6,6,Finished,5:33.580
"Nunn, Sam",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,7,7,Finished,5:33.580
"Asteriades, Tom",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,1,8,Stroke,Finished,5:33.580
"Boother, Emily",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,0,Coxswain,Finished,5:34.427
"Barnoud, Romain",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,1,Bow,Finished,5:34.427
"Harrison, James",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,2,2,Finished,5:34.427
"Whiting, Luke",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,3,3,Finished,5:34.427
"Rees, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,4,4,Finished,5:34.427
"Ball, A",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,5,5,Finished,5:34.427
"Bentley, Edward",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,6,6,Finished,5:34.427
"Edwards, Jonathan",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,7,7,Finished,5:34.427
"Fraser, Alister",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Imperial Coll,Imperial Coll,2,8,Stroke,Finished,5:34.427
"Wenyon, Alex",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,0,Coxswain,Finished,5:38.183
"Gerrard, Oliver",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,1,Bow,Finished,5:38.183
"Redman, Leon",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,2,2,Finished,5:38.183
"Swiss, Matthew",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,3,3,Finished,5:38.183
"Ayres, Oliver",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,4,4,Finished,5:38.183
"Murphy, Ben",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,5,5,Finished,5:38.183
"Morgan, Oliver",Tier 2 8+,6/17/2017,8:30 AM,Time Trial,TT 1,Oxford Brookes Univ,Oxford Brookes Univ,3,6,6,Finished,5:38.183
